1438094169.554790 edKingdom293-4 edKingdom207-3 down
1438094170.596789 edKingdom293-4 edKingdom207-3 up
1438094171.597932 France193-1 edKingdom208-4 pre
1438094171.628870 France193-1 edKingdom208-4 down
1438094172.665792 France193-1 edKingdom208-4 up
1438094173.666900 France193-2 NY240-1 pre
1438094173.712796 France193-2 NY240-1 down
1438094174.764076 France193-2 NY240-1 up
1438094175.765189 France193-3 edKingdom207-4 pre
1438094175.809830 France193-3 edKingdom207-4 down
1438094176.841785 France193-3 edKingdom207-4 up
1438094177.842953 France193-4 France196-1 pre
1438094177.884749 France193-4 France196-1 down
1438094178.927775 France193-4 France196-1 up
1438094179.928363 France193-5 itzerland140-0 pre
1438094179.973861 France193-5 itzerland140-0 down
1438094181.007811 France193-5 itzerland140-0 up
1438094182.008929 France193-6 Belgium135-0 pre
1438094182.041816 France193-6 Belgium135-0 down
1438094183.091837 France193-6 Belgium135-0 up
1438094184.092853 France193-7 itzerland139-0 pre
1438094184.140792 France193-7 itzerland139-0 down
1438094185.192836 France193-7 itzerland139-0 up
1438094186.193969 edKingdom287-2 edKingdom208-5 pre
1438094186.235771 edKingdom287-2 edKingdom208-5 down
1438094187.282797 edKingdom287-2 edKingdom208-5 up
1438094188.283009 edKingdom287-3 edKingdom291-3 pre
1438094188.318833 edKingdom287-3 edKingdom291-3 down
1438094189.365848 edKingdom287-3 edKingdom291-3 up
1438094190.366914 edKingdom288-2 edKingdom291-4 pre
1438094190.406771 edKingdom288-2 edKingdom291-4 down
1438094191.443852 edKingdom288-2 edKingdom291-4 up
1438094192.444960 edKingdom288-3 edKingdom177-0 pre
1438094192.477731 edKingdom288-3 edKingdom177-0 down
1438094193.521753 edKingdom288-3 edKingdom177-0 up
1438094194.522977 Belgium136-1 Belgium135-1 pre
1438094194.560761 Belgium136-1 Belgium135-1 down
1438094195.603773 Belgium136-1 Belgium135-1 up
1438094196.604902 Belgium136-2 Belgium247-0 pre
1438094196.654764 Belgium136-2 Belgium247-0 down
1438094197.692728 Belgium136-2 Belgium247-0 up
1438094198.693836 Belgium136-3 Belgium246-0 pre
1438094198.735827 Belgium136-3 Belgium246-0 down
1438094199.767749 Belgium136-3 Belgium246-0 up
1438094200.768993 Germany169-1 Germany164-0 pre
1438094200.804817 Germany169-1 Germany164-0 down
1438094201.847759 Germany169-1 Germany164-0 up
1438094202.848764 Germany169-2 Germany170-0 pre
1438094202.884837 Germany169-2 Germany170-0 down
1438094203.924747 Germany169-2 Germany170-0 up
1438094204.925775 Germany169-3 Germany166-0 pre
1438094204.966796 Germany169-3 Germany166-0 down
1438094206.007798 Germany169-3 Germany166-0 up
1438094207.008920 therlands228-1 therlands299-0 pre
1438094207.051838 therlands228-1 therlands299-0 down
1438094208.092799 therlands228-1 therlands299-0 up
1438094209.093854 Germany163-1 edKingdom177-1 pre
1438094209.137840 Germany163-1 edKingdom177-1 down
1438094210.179791 Germany163-1 edKingdom177-1 up
1438094211.179953 Germany163-2 Germany261-0 pre
1438094211.217723 Germany163-2 Germany261-0 down
1438094212.263734 Germany163-2 Germany261-0 up
1438094213.264347 Germany163-3 Germany260-0 pre
1438094213.302736 Germany163-3 Germany260-0 down
1438094214.342710 Germany163-3 Germany260-0 up
1438094215.343587 Germany163-4 Germany164-1 pre
1438094215.382786 Germany163-4 Germany164-1 down
1438094216.419905 Germany163-4 Germany164-1 up
1438094217.421032 France196-2 Germany170-1 pre
1438094217.467781 France196-2 Germany170-1 down
1438094218.502787 France196-2 Germany170-1 up
1438094219.503880 itzerland140-1 itzerland144-0 pre
1438094219.548777 itzerland140-1 itzerland144-0 down
1438094220.597799 itzerland140-1 itzerland144-0 up
1438094221.598925 itzerland140-2 itzerland145-0 pre
1438094221.641763 itzerland140-2 itzerland145-0 down
1438094222.688904 itzerland140-2 itzerland145-0 up
1438094223.690050 itzerland140-3 Italy220-0 pre
1438094223.739834 itzerland140-3 Italy220-0 down
1438094224.770763 itzerland140-3 Italy220-0 up
1438094225.771559 Belgium135-2 Belgium247-1 pre
1438094225.815837 Belgium135-2 Belgium247-1 down
1438094226.856725 Belgium135-2 Belgium247-1 up
1438094227.857872 Belgium135-3 Belgium246-1 pre
1438094227.904834 Belgium135-3 Belgium246-1 down
1438094228.947774 Belgium135-3 Belgium246-1 up
1438094229.948891 itzerland139-1 itzerland144-1 pre
1438094229.996878 itzerland139-1 itzerland144-1 down
1438094231.039774 itzerland139-1 itzerland144-1 up
1438094232.040887 itzerland139-2 itzerland146-0 pre
1438094232.084798 itzerland139-2 itzerland146-0 down
1438094233.132790 itzerland139-2 itzerland146-0 up
1438094234.133864 itzerland139-3 Italy220-1 pre
1438094234.181851 itzerland139-3 Italy220-1 down
1438094235.215819 itzerland139-3 Italy220-1 up
1438094236.216641 edKingdom177-2 Denmark179-0 pre
1438094236.260765 edKingdom177-2 Denmark179-0 down
1438094237.298831 edKingdom177-2 Denmark179-0 up
1438094238.299980 edKingdom177-3 Denmark271-0 pre
1438094238.338790 edKingdom177-3 Denmark271-0 down
1438094239.373785 edKingdom177-3 Denmark271-0 up
1438094240.374868 Denmark179-1 Sweden231-0 pre
1438094240.417778 Denmark179-1 Sweden231-0 down
1438094241.462790 Denmark179-1 Sweden231-0 up
1438094242.463873 Denmark179-2 Denmark271-1 pre
1438094242.495799 Denmark179-2 Denmark271-1 down
1438094243.543771 Denmark179-2 Denmark271-1 up
1438094244.544888 Sweden231-1 Sweden303-0 pre
1438094244.591828 Sweden231-1 Sweden303-0 down
1438094245.637839 Sweden231-1 Sweden303-0 up
1438094246.638878 Sweden231-2 Sweden232-0 pre
1438094246.684035 Sweden231-2 Sweden232-0 down
1438094247.726784 Sweden231-2 Sweden232-0 up
1438094248.727952 Denmark271-2 Sweden304-0 pre
1438094248.773754 Denmark271-2 Sweden304-0 down
1438094249.827794 Denmark271-2 Sweden304-0 up
1438094250.828904 Denmark271-3 Sweden302-0 pre
1438094250.876774 Denmark271-3 Sweden302-0 down
1438094251.924810 Denmark271-3 Sweden302-0 up
1438094252.925911 Sweden303-1 Sweden302-1 pre
1438094252.967761 Sweden303-1 Sweden302-1 down
1438094254.010850 Sweden303-1 Sweden302-1 up
1438094255.011764 Sweden232-1 Sweden302-2 pre
1438094255.052860 Sweden232-1 Sweden302-2 down
1438094256.098875 Sweden232-1 Sweden302-2 up
1438094257.100032 Sweden232-2 Germany161-0 pre
1438094257.150796 Sweden232-2 Germany161-0 down
1438094258.196782 Sweden232-2 Germany161-0 up
1438094259.197907 Germany266-0 Germany267-0 pre
1438094259.239858 Germany266-0 Germany267-0 down
1438094260.281868 Germany266-0 Germany267-0 up
1438094261.282799 Germany266-1 Germany264-0 pre
1438094261.324794 Germany266-1 Germany264-0 down
1438094262.373804 Germany266-1 Germany264-0 up
1438094263.374948 Germany266-2 Germany261-1 pre
1438094263.408770 Germany266-2 Germany261-1 down
1438094264.458771 Germany266-2 Germany261-1 up
1438094265.459920 Germany267-1 Austria242-0 pre
1438094265.507757 Germany267-1 Austria242-0 down
1438094266.558804 Germany267-1 Austria242-0 up
1438094267.559940 Germany267-2 Germany260-1 pre
1438094267.613827 Germany267-2 Germany260-1 down
1438094268.661789 Germany267-2 Germany260-1 up
1438094269.662899 Germany267-3 Germany176-0 pre
1438094269.701824 Germany267-3 Germany176-0 down
1438094270.747842 Germany267-3 Germany176-0 up
1438094271.748957 Germany267-4 Austria126-0 pre
1438094271.802845 Germany267-4 Austria126-0 down
1438094272.830818 Germany267-4 Austria126-0 up
1438094273.831920 Germany264-1 Germany261-2 pre
1438094273.883818 Germany264-1 Germany261-2 down
1438094274.926721 Germany264-1 Germany261-2 up
1438094275.927831 Germany264-2 Germany260-2 pre
1438094275.986873 Germany264-2 Germany260-2 down
1438094277.029876 Germany264-2 Germany260-2 up
1438094278.030988 Germany264-3 Germany265-0 pre
1438094278.075855 Germany264-3 Germany265-0 down
1438094279.124800 Germany264-3 Germany265-0 up
1438094280.124950 Germany261-3 Germany260-3 pre
1438094280.163826 Germany261-3 Germany260-3 down
1438094281.200891 Germany261-3 Germany260-3 up
1438094282.201999 Germany261-4 Germany164-2 pre
1438094282.249978 Germany261-4 Germany164-2 down
1438094283.291871 Germany261-4 Germany164-2 up
1438094284.292989 Austria242-1 Austria126-1 pre
1438094284.339860 Austria242-1 Austria126-1 down
1438094285.384782 Austria242-1 Austria126-1 up
1438094286.385890 Austria242-2 Germany259-0 pre
1438094286.420810 Austria242-2 Germany259-0 down
1438094287.468777 Austria242-2 Germany259-0 up
1438094288.469911 Germany260-4 Germany164-3 pre
1438094288.507845 Germany260-4 Germany164-3 down
1438094289.550831 Germany260-4 Germany164-3 up
1438094290.551838 Germany176-1 Germany170-2 pre
1438094290.602732 Germany176-1 Germany170-2 down
1438094291.645817 Germany176-1 Germany170-2 up
1438094292.646980 Germany176-2 Austria125-0 pre
1438094292.689869 Germany176-2 Austria125-0 down
1438094293.736845 Germany176-2 Austria125-0 up
1438094294.737951 Austria126-2 Germany259-1 pre
1438094294.777849 Austria126-2 Germany259-1 down
1438094295.819799 Austria126-2 Germany259-1 up
1438094296.820910 Austria126-3 Austria125-1 pre
1438094296.865761 Austria126-3 Austria125-1 down
1438094297.918827 Austria126-3 Austria125-1 up
1438094298.919979 Austria126-4 Austria130-0 pre
1438094298.961858 Austria126-4 Austria130-0 down
1438094300.019860 Austria126-4 Austria130-0 up
1438094301.021007 Austria126-5 Austria123-0 pre
1438094301.068833 Austria126-5 Austria123-0 down
1438094302.108778 Austria126-5 Austria123-0 up
1438094303.109888 Germany164-4 Germany160-0 pre
1438094303.154809 Germany164-4 Germany160-0 down
1438094304.201756 Germany164-4 Germany160-0 up
1438094305.202703 Germany259-2 Germany160-1 pre
1438094305.244762 Germany259-2 Germany160-1 down
1438094306.281830 Germany259-2 Germany160-1 up
1438094307.282890 Germany170-3 Germany166-1 pre
1438094307.324780 Germany170-3 Germany166-1 down
1438094308.373793 Germany170-3 Germany166-1 up
1438094309.374793 Germany170-4 itzerland144-2 pre
1438094309.416724 Germany170-4 itzerland144-2 down
1438094310.462838 Germany170-4 itzerland144-2 up
1438094311.463969 Germany170-5 itzerland145-1 pre
1438094311.504810 Germany170-5 itzerland145-1 down
1438094312.545776 Germany170-5 itzerland145-1 up
1438094313.546890 Germany170-6 itzerland146-1 pre
1438094313.583814 Germany170-6 itzerland146-1 down
1438094314.635778 Germany170-6 itzerland146-1 up
1438094315.636869 Austria125-2 Austria130-1 pre
1438094315.673815 Austria125-2 Austria130-1 down
1438094316.725760 Austria125-2 Austria130-1 up
1438094317.726203 Austria125-3 Austria123-1 pre
1438094317.770831 Austria125-3 Austria123-1 down
1438094318.822792 Austria125-3 Austria123-1 up
1438094319.823914 Austria130-2 Austria124-0 pre
1438094319.879850 Austria130-2 Austria124-0 down
1438094320.918835 Austria130-2 Austria124-0 up
1438094321.919957 Austria123-2 hRepublic157-0 pre
1438094321.954819 Austria123-2 hRepublic157-0 down
1438094322.997811 Austria123-2 hRepublic157-0 up
1438094323.998924 Belgium247-2 Belgium244-0 pre
1438094324.044854 Belgium247-2 Belgium244-0 down
1438094325.088855 Belgium247-2 Belgium244-0 up
1438094326.089959 Belgium246-2 Belgium244-1 pre
1438094326.143766 Belgium246-2 Belgium244-1 down
1438094327.193799 Belgium246-2 Belgium244-1 up
1438094328.194900 Belgium244-2 Belgium243-0 pre
1438094328.244846 Belgium244-2 Belgium243-0 down
1438094329.283833 Belgium244-2 Belgium243-0 up
1438094330.284991 Germany160-2 Germany161-1 pre
1438094330.329815 Germany160-2 Germany161-1 down
1438094331.370845 Germany160-2 Germany161-1 up
1438094332.371845 itzerland144-3 Italy219-0 pre
1438094332.409722 itzerland144-3 Italy219-0 down
1438094333.445725 itzerland144-3 Italy219-0 up
1438094334.446827 itzerland144-4 Italy217-0 pre
1438094334.493887 itzerland144-4 Italy217-0 down
1438094335.535777 itzerland144-4 Italy217-0 up
1438094336.536104 itzerland144-5 Italy218-0 pre
1438094336.580939 itzerland144-5 Italy218-0 down
1438094337.624782 itzerland144-5 Italy218-0 up
1438094338.625904 itzerland145-2 Italy219-1 pre
1438094338.667770 itzerland145-2 Italy219-1 down
1438094339.711825 itzerland145-2 Italy219-1 up
1438094340.712951 itzerland146-2 Italy217-1 pre
1438094340.756783 itzerland146-2 Italy217-1 down
1438094341.801951 itzerland146-2 Italy217-1 up
1438094342.802959 itzerland146-3 Italy218-1 pre
1438094342.854831 itzerland146-3 Italy218-1 down
1438094343.900909 itzerland146-3 Italy218-1 up
1438094344.902015 Belgium243-1 therlands299-1 pre
1438094344.948276 Belgium243-1 therlands299-1 down
1438094345.996912 Belgium243-1 therlands299-1 up
1438094346.998096 Italy221-0 Italy220-2 pre
1438094347.048905 Italy221-0 Italy220-2 down
1438094348.093866 Italy221-0 Italy220-2 up
1438094349.094964 Germany161-2 hRepublic155-0 pre
1438094349.143781 Germany161-2 hRepublic155-0 down
1438094350.191785 Germany161-2 hRepublic155-0 up
1438094351.192901 hRepublic155-1 hRepublic157-1 pre
1438094351.248874 hRepublic155-1 hRepublic157-1 down
1438094352.288804 hRepublic155-1 hRepublic157-1 up
1438094353.289638 hRepublic157-2 Austria124-1 pre
1438094353.337855 hRepublic157-2 Austria124-1 down
1438094354.376785 hRepublic157-2 Austria124-1 up
1438094355.377861 therlands297-0 therlands299-2 pre
1438094355.413744 therlands297-0 therlands299-2 down
1438094356.453869 therlands297-0 therlands299-2 up
